Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
FrankfurtamMain,3,3,1000,79,0,00,1,333,2,667,0,00,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Fulda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Gießen-Friedberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Halle-Dessau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Hanau-Gelnhausen-Schlüchtern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Hannover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Heilbronn-Franken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Hochrhein-Bodensee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Karlsruhe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Kassel-Marburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Kiel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Koblenz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Köln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Lahn-Dill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Leipzig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
