Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
Aachen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Arnsberg Hellweg - Sauerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Aschaffenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Berlin,6,6,1000,62,0,00,0,00,2,333,4,667,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Bodensee-Oberschwaben,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Bonn / Rhein-Sieg,3,3,1000,80,0,00,2,667,0,00,1,333,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Braunschweig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Bremen,6,6,1000,70,0,00,0,00,4,667,2,333,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Bremerhaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Chemnitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Coburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Cottbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Darmstadt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Dortmund,16,16,1000,76,0,00,6,375,9,563,1,63,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Dresden,3,2,667,62,0,00,1,333,0,00,1,333,1,333,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Düsseldorf,17,17,1000,72,0,00,5,294,6,353,6,353,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Erfurt,6,6,1000,67,0,00,1,167,3,500,2,333,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
"Essen, Mülheim an der Ruhr, Oberhausen zu Essen",16,16,1000,73,0,00,4,250,6,375,6,375,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Flensburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Frankfurt am Main,6,6,1000,73,0,00,1,167,4,667,1,167,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Fulda,7,7,1000,85,1,143,5,714,1,143,0,00,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Gießen-Friedberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Halle-Dessau,3,3,1000,71,0,00,1,333,1,333,1,333,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Hamburg,8,8,1000,77,1,125,3,375,2,250,2,250,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Hanau-Gelnhausen-Schlüchtern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Hannover,12,12,1000,75,1,83,2,167,7,583,2,167,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Heilbronn - Franken,4,4,1000,83,0,00,4,1000,0,00,0,00,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Hochrhein-Bodensee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Karlsruhe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Kassel-Marburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Kiel,5,5,1000,80,0,00,3,600,2,400,0,00,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Koblenz,5,5,1000,82,0,00,3,600,2,400,0,00,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Köln,7,7,1000,72,0,00,2,286,3,429,2,286,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Lahn-Dill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Leipzig,3,3,1000,71,0,00,0,00,3,1000,0,00,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Lippe zu Detmold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Lübeck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Lüneburg-Wolfsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Magdeburg,4,4,1000,72,0,00,2,500,1,250,1,250,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Mittlerer Niederrhein Krefeld-Mönchengladbach-Neuss,9,9,1000,76,0,00,4,444,3,333,2,222,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Mittleres Ruhrgebiet,3,3,1000,81,0,00,2,667,1,333,0,00,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
München und Oberbayern,8,8,1000,79,1,125,3,375,3,375,1,125,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Neubrandenburg für das östliche Mecklenburg-Vorpommern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Niederbayern in Passau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Niederrheinische Duisburg-Wesel-Kleve zu Duisburg,6,4,667,59,0,00,0,00,2,333,3,500,0,00,1,167,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Nord Westfalen,4,3,750,65,0,00,1,250,1,250,1,250,1,250,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Nordschwarzwald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Nürnberg für Mittelfranken,6,5,833,68,0,00,2,333,2,333,1,167,1,167,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Oberfranken Bayreuth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Offenbach am Main,3,2,667,55,0,00,0,00,1,333,1,333,1,333,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Oldenburgische Industrie- und Handelskammer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Osnabrück-Emsland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Ostbrandenburg,5,5,1000,70,0,00,1,200,2,400,2,400,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Ostfriesland und Papenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Ostthüringen zu Gera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Ostwestfalen zu Bielefeld,3,3,1000,80,0,00,1,333,2,667,0,00,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Ostwürttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Potsdam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Regensburg für Oberpfalz / Kelheim,3,3,1000,80,0,00,1,333,2,667,0,00,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
