Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
Fulda,13,12,923,78,1,77,6,462,4,308,2,154,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Gießen-Friedberg,33,29,879,70,1,30,8,242,14,424,6,182,3,91,1,30,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Halle-Dessau,39,36,923,71,1,26,10,256,15,385,10,256,2,51,1,26,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Hamburg,193,171,886,72,6,31,53,275,73,378,48,249,10,52,3,16,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Hanau-Gelnhausen-Schlüchtern,7,7,1000,74,0,00,3,429,2,286,2,286,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Hannover,143,134,937,74,14,98,31,217,61,427,35,245,2,14,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Heilbronn - Franken,57,51,895,71,0,00,18,316,24,421,10,175,4,70,1,18,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Hochrhein-Bodensee,22,22,1000,79,1,45,7,318,12,545,2,91,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Karlsruhe,103,99,961,77,8,78,42,408,35,340,15,146,2,19,1,10,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Kassel-Marburg,71,66,930,73,0,00,22,310,34,479,12,169,1,14,2,28,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Kiel,34,31,912,77,1,29,16,471,13,382,2,59,2,59,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Koblenz,74,71,959,76,5,68,27,365,25,338,16,216,1,14,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Köln,179,160,894,70,4,22,38,212,76,425,47,263,9,50,5,28,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Lahn-Dill,10,9,900,77,0,00,6,600,2,200,2,200,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
