Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
Frankfurt am Main,12,12,1000,74,0,00,3,250,6,500,3,250,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Fulda,3,3,1000,81,0,00,2,667,1,333,0,00,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Gießen-Friedberg,17,17,1000,74,0,00,4,235,9,529,4,235,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Halle-Dessau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Hamburg,32,28,875,63,0,00,3,94,12,375,13,406,4,125,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Hanau-Gelnhausen-Schlüchtern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Hannover,54,49,907,69,0,00,12,222,24,444,13,241,3,56,2,37,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Heilbronn - Franken,12,12,1000,80,1,83,6,500,4,333,1,83,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Hochrhein-Bodensee,5,5,1000,81,1,200,2,400,2,400,0,00,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Karlsruhe,30,26,867,66,1,33,6,200,7,233,12,400,4,133,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Kassel-Marburg,31,31,1000,73,0,00,8,258,15,484,8,258,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Kiel,15,15,1000,75,0,00,5,333,6,400,4,267,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Koblenz,34,32,941,65,0,00,1,29,17,500,15,441,1,29,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Köln,69,61,884,62,0,00,4,58,23,333,36,522,5,72,1,14,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Lahn-Dill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Leipzig,24,20,833,64,0,00,1,42,9,375,11,458,3,125,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Lippe zu Detmold,7,7,1000,70,0,00,1,143,3,429,3,429,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Lübeck,13,13,1000,67,0,00,1,77,6,462,6,462,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Lüneburg-Wolfsburg,10,10,1000,69,0,00,1,100,8,800,1,100,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
