Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
NiederbayerninPassau,135,123,911,73,7,52,35,259,61,452,25,185,6,44,1,07,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
NiederrheinischeIHKDuisburg-Wesel-KleveDuisburg,74,63,851,66,1,14,5,68,31,419,32,432,5,68,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
NordWestfalen,277,254,917,70,8,29,48,173,141,509,67,242,11,40,2,07,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Nordschwarzwald,60,51,850,69,0,00,12,200,23,383,19,317,5,83,1,17,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
NürnbergMittelfranken,278,237,853,70,3,11,70,252,118,424,68,245,13,47,6,22,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
OberfrankenBayreuth,64,57,891,71,1,16,12,188,32,500,17,266,1,16,1,16,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
OffenbachamMain,36,24,667,66,0,00,4,111,18,500,10,278,3,83,1,28,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
OldenburgischeIndustrie-undHandelskammer,114,105,921,72,4,35,27,237,56,491,22,193,5,44,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Osnabrück-Emsland,131,117,893,70,0,00,23,176,66,504,34,260,8,61,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Ostbrandenburg,17,14,824,63,0,00,0,00,7,412,8,471,2,118,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
