Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
Koblenz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Köln,7,5,714,60,0,00,0,00,2,286,3,429,2,286,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Lahn-Dill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Leipzig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Limburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
LippeDetmold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Lübeck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Lüneburg-Wolfsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Magdeburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
MittlererNiederrheinKrefeld-Mönchengladbach-Neuss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
MittleresRuhrgebiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
MünchenundOberbayern,11,7,636,63,0,00,2,182,3,273,3,273,3,273,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
NeubrandenburgdasöstlicheMecklenburg-Vorpommern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
NiederbayerninPassau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
NiederrheinischeIHKDuisburg-Wesel-KleveDuisburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
NordWestfalen,3,3,1000,82,0,00,2,667,1,333,0,00,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Nordschwarzwald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
NürnbergMittelfranken,3,3,1000,77,0,00,1,333,2,667,0,00,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
OberfrankenBayreuth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
OffenbachamMain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
OldenburgischeIndustrie-undHandelskammer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Osnabrück-Emsland,3,3,1000,83,0,00,2,667,1,333,0,00,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Ostbrandenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
OstfrieslandundPapenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
OstthüringenGera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
OstwestfalenBielefeld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Ostwürttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Potsdam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
RegensburgOberpfalz/Kelheim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
RegionStuttgart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Reutlingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Rhein-Neckar,3,3,1000,80,0,00,1,333,2,667,0,00,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Rheinhessen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Rostock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Saarland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Schwaben,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Schwarzwald-Baar-Heuberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Schwerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Siegen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
StadedenElbe-Weser-Raum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
SüdlicherOberrhein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Südthüringen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
SüdwestfälischeHagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Trier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Ulm,3,3,1000,76,0,00,1,333,2,667,0,00,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Wiesbaden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Wuppertal-Solingen-Remscheid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Würzburg-Schweinfurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
bundesweit,96,83,865,69,2,21,23,240,40,417,21,219,8,83,2,21,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
diePfalzinLudwigshafenamRhein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
